oṃ sāmavedīyā chāndogyopaniṣat	One should meditate upon the syllable ‘Om’, the Udgītha; because one sings beginning with ‘Om’;
athānantaraṃ yadi mahanmahattvaṃ jigamiṣedgantumicchenmahattvaṃ prāptuṃ yadikāmayetetyarthaḥ / tasyedaṃ karma vidhīyate / mahattve hi sati śrīrupanamate / śrīmato hyarthaprāptaṃ dhanaṃ tataḥ karmānuṣṭhānaṃ tataśca devayānaṃ pitṛyāṇaṃ vā panthānaṃ pratipatsyata ityetatprayojanamurarīkṛtya mahattvaprepsoridaṃ karma na	Now, after this, if one desire to attain the Greatie if one wishes to reach greatness,then, for him, the following rite is prescribedAs a matter of fact, when there is Greatness, Prosperity comes,and to the prosperous man, wealth comes as a matter of course;this enables him to perform Rites, and thence to pass on either to the path of the Divinities or to the path of the Fathers;it is with a view to this ulterior motive that the man desires greatness, and it is for this purpose that the Rite has been prescribed,not for one who desires merely the pleasures desired from the objects of sense
tasyāyaṃ kālādividhirucyateamāvāsyāyāṃ dīkṣitvā dīkṣita iva bhūmiśayanādiniyamaṃ kṛtvā taporūpaṃ satyavacanaṃ brahmacaryamityādidharmavānbhūtvetyarthaḥ	For this person, the time and other details are prescribed as followsOn the Moonless Night, having become initiated,ie having kept, like the initiated person, such penances and observances as sleeping on the ground, telling the truth, celibacy and the like;it is not meant that he should perform all the detailed rites that have been prescribed for the formal Initiatory Rite;
na punardaikṣameva karmajātaṃ sarvamupādatte / atadvikāratvānmanthākhyasya karmaṇaḥ / upasadvratīiti śrutyantarātpayomātrabhakṣamaṃ ca śuddhikāramaṃ tapa upādatte /	that such cannot be the meaning follows from the fact that the Rite of the Mash is not a ‘modification’ of the Initiatory Rite and it is only a Modification that takes in all the details of its prototype;in fact, according to another text to the effect that ‘He keeps the observances of the Upasad’, BṛhadāUpa the man in question has to keep the penance of living on milk only as a means of purification
paurṇamāsyāṃ rātrau karmā'rabhate sarvauṣadhasya grāmyāraṇyānāmoṣadhīnāṃ yāvacchaktyalpamalpamupādāya tadvituṣīkṛtyā'mameva piṣṭaṃ dadhimadhunoraudumbare kaṃsākāre camasākāre vā pātre śrutyantarātprakṣipyopamathyāgrataḥ sthāpayitvā jyeṣṭhāya śreṣṭhāya svāhetyagnāvāvasathya	On the night of the Fullmoon, he proceeds with the Rite Having collected, to the best of his capacity, small quantities of all the herbsboth cultivated and wild,having cleaned them of all chaff, he should make up a mash of all these without cooking them,and he should throw into it curd and honey,in a vessel made of Udumbara wood, shaped like Kaṃsa goblet or a Camasa cup, as laid down in another Vedic Text,and stir it up and keep it before himselfthen he should offer an oblation of clarified Butter
ājyasyā'vāpasthāne hutvā sruvasaṃlagnaṃ manthe saṃpātamavanayetsaṃsravamadhaḥ pātayet // vasiṣṭhāya svāhety agnāv ājyasya hutvā manthe saṃpātam avanayet /	saying Svāhā’ to the Oldest and the Bestinto the Āvasathya Fire, on the spot prescribed for such offerings;and what may be left attached to the ladle should be thrown as Remnant into the Mash Saying ‘Svāhā to the Richest’, he should offer a libation of clarified Butter into the Fire and throw the remnant into the Mash
pratiṣṭhāyai svāhety agnāv ājyasya hutvā manthe saṃpātam avanayet / saṃpade svāhety agnāv ājyasya hutvā manthe saṃpātam avanayet /	Saying ‘Svāhā’ to Firmness, he should offer a libation of charified Butter into the Fire and throw the remnant into the Mash Saying ‘Svāhā to Prosperity’, he should offer a libation of clarified Butter into the Fire and throw the remnant into the Mash
āyatanāya svāhety agnāv ājyasya hutvā manthe saṃpātam avanayet //	Saying ‘Svāhā to the Homa’, he should offer a libation into the Fire and throw the remnant into the Mash
samānamanyat /	The rest is as above
vasiṣṭhāya pratiṣṭhāyai saṃpada āyatanāya svāheti pratyekaṃ tathaiva saṃpātamavanayeddhutvā //	Having offered the libations ‘to the Richest’, to ‘Firmness’, ‘to Prosperity’ and ‘to the Homa’, he should throw the remnant, each time, into the Mash
atha pratisṛpyāñjalau mantham ādhāya japati / amo nāmāsi / amā hi te sarvam idam /	Then, moving away and holding the Mash in his hands, he recites‘Thou art Ama by name, as all this rests with thee
sa hi jyeṣṭhaḥ śreṣṭho rājādhipatiḥ /	He is the Oldest and Best, the King and Sovereign
sa mā jyaiṣṭhyaṃ śraiṣṭhyaṃ rājyam ādhipatyaṃ gamayatu / aham evedaṃ sarvam asānīti //	May he lead me to the oldest age, to the best position, to kingship and to sovereignty! May be all this’
atha pratisṛpyāgnerīṣadapasṛpyāñjalau manthamādhāya japatīmaṃ mantram / amo nāmāsyamā hi te / ama iti prāṇasya nāma / annena hi prāṇaḥ prāṇiti deha ityato manthadravyaṃ prāṇasyānnatvātprāṇatvena stūyate 'mo nāmāsīti /	Then moving away,having gone away a little, from the Fire,holding the Mash in his hands, he recites the following Mantra‘Amo nāmāsi amāhite etc, etc‘Ama’ is a name of Prāṇa Breath;it is through food that Breath functions in the body; hence the substance in the Mash, being the food for Breath, is eulogised as Breath itself‘thou art Ama by name’
kutaḥ / yato 'mā saha hi yasmātte tava prāṇabhūtasya sarvaṃ samastaṃ jagadidamataḥ /	How?Because all this rests with thee; ie because the whole of this world rests with thee as representing Breath
sa hi prāṇabhūto mantho jyeṣṭhaḥ śreṣṭhaśca /	This Mash, being Breath, is both the Oldest and the Best;
ata eva ca rājā dīptimānadhipatiścādhiṣṭhāya pālayitā sarvasya / samā māmapi manthaḥ prāṇo jyaiṣṭhyādiguṇapūgamātmano gamayatvahamevedaṃ sarvaṃ jagadasāni bhavani prāṇavat / itiśabdo mantraparisamāptyarthaḥ //	and for this reason, He is also the Kingeffulgentand Sovereignie the lord and protector of all;may hethe Mash representing Breath,lead me to the host of all his own qualities, in the shape of the oldest age and the rest; and may ,like Breathbe all thisin the world’The particle ‘iti’ indicates the end of the Mantra to be recited
atha khalv etayarcā paccha ācāmati / tat savitur vṛṇīmaha ity ācāmati / vayaṃ devasya bhojanam ity ācāmati /	Then he eats with this verse, foot by foot saying ‘We pray for that related to the Progenitor he eats;saying ‘We are the food of the;
turaṃ bhagasya dhīmahīti sarvaṃ pibati / nirṇijya kaṃsaṃ camasaṃ vā paścād agneḥ saṃviśati / carmaṇi vā sthaṇḍile vā vācaṃyamo 'prasāhaḥ /	Deity’, he eats;saying ‘the best and the allsustaining’, he eats;saying ‘we quickly meditate upon the divine’, he drinks up allHaving washed the goblet or the cup, he lies down behind the fire, on a skin or on the ground, in silence, undisturbed
sa yadi striyaṃ paśyet samṛddhaṃ karmeti vidyāt //	If he should see a woman, he should know that his business has succeeded
athānantaraṃ khalvetayā vakṣyamāṇayarcā pacchaḥ pādaśa ācāmati bhakṣayati,	Then,after this,he eats with thisthe following verse, foot by foot;
mantrasyaikaikena pādenaikaikaṃ grāsaṃ bhakṣayati /	ie he eats one morsal with each quarter of the Mantra
tadbhojanaṃ savituḥ sarvasya prasavituḥ / prāṇamādityaṃ caikīkṛtyocyate /	ThatEatingrelated to the Progenitorthe source of all,this is meant to include the Breath and the Sun together into one entity;
ādityasya vṛṇīmahe prārthayemahi mantharūpam /	we pray for ask forthe Mash of the Sun;
yenānnena sāvitreṇa bhojanenopabhuktena vayaṃ savitṛsvarūpāpannā bhavemetyabhiprāyaḥ / devasya savituriti pūrveṇa sambandhaḥ /	the sense being that ‘by eating this food related to the Sun, we shall attain the form of the Sun’‘Of the deity’,this is to be construed with ‘Savituḥ’ of the preceding quarter
śreṣṭhaṃ praśasyatamaṃ sarvānnebhyaḥ sarvadhātamaṃ sarvasya jagato dhārayitṛtamamatiśayena vidhātṛtamamiti vā / sarvathā bhojanaviśeṣaṇam /	the best,the most superior of all foods,allsustainingsustaining the entire universe,very sustaining in its properties,all this qualifies ‘food’
bhagasya devasya savituḥ svarūpamiti śeṣaḥ /	‘Quicklyspeedilyof the divine, ie the form ofthe divinity, the Sun,we mediate upon’;
dhīmahi cintayemahi viśiṣṭabhojanena saṃskṛtāḥ śuddhātmānaḥ santa ityabhiprāyaḥ / athavā bhagasya śriyaḥ kāraṇaṃ mahattvaṃ prāptuṃ karma kṛtavanto vayaṃ taddhomahi cintayemahīti sarvaṃ ca manthalepaṃ pibati nirṇijya prakṣālya kaṃsaṃ kaṃsākāraṃ camasaṃ	‘being embellished with the particular kind of food and having our souls purified’Or the meaning may be that ‘Having performed a Rite for the obtaining of that greatness which is a source of prosperity, we meditate upon it’Having said this, he drinks up all,ie all that remains of the Mash attached to the goblet
pītvā'camya paścādagneḥ prākśirāḥ saṃviśati carmaṇi vājine sthaṇḍile kevalāyāṃ vā bhūmau / vācaṃyamo vāgyataḥ sannityarthaḥ / aprasāho na prasahyate nābhibhūyate stryādyaniṣṭasvapnadarśanena yathā tathā saṃyatacittaḥ sannityarthaḥ /	Having washed the goblet or the cup,ie the vessel of Udumbara wood, shaped like the goblet or the cup,having drunk it off and washed his mouth’, he lies down behind the firewith his head towards the Easteither on a skin or on the bare ground,in silenceundisturbedie so peacefully as not to be disturbed by women or by evil dreams,with mind calm and collected;
sa evaṃbhūto yadi sriyaṃ paśyetsvapneṣu tadā vidyātsamṛddhaṃ mamedaṃ karmeti //	in this condition, if he should seeie dream ofa woman,then he should know that his business has succeeded
tad eṣa ślokaḥ /	To this same effect there is the following verse
yadā karmasu kāmyeṣu striyaṃ svapneṣu paśyati / samṛddhiṃ tatra jānīyāt tasmin svapnanidarśane tasmin svapnanidarśane //	If during the performance of prospective Rites, one should see a woman in his dreams,he should recognise success,yea, in such dreamvision’
yadā karmasu kāmyeṣu kāmārtheṣu sriyaṃ svapneṣu svapnadarśaneṣu svapnakāleṣu vā paśyati samṛddhiṃ tatra jānīyīt / karmaṇāṃ phalaniṣpattirbhaviṣyatīti jānīyādityarthaḥ / tasminstryādipraśastasvapnadarśane satītyabhiprāyaḥ / dviruktiḥ karmasamāptyarthā //	To this same effect there is the following versemantratext‘If during the performance of prospective rites, one should see a woman,either during dreamvision, or at the time of sleepinghe should recognise success;that is, he should understand that the results desired of those Rites will surely be accomplished,in such dreamvision,ie, if he has had such excellent dreams as that of a woman
iti cchāndogyopaniṣadi pañcamādhyāyasya dvitīyaḥ khaṇḍaḥ	The repetition is meant to indicate the end of the Rite of the Mash End of Section of Discourse
śvetaketur hāruṇeyaḥ pañcālānāṃ samitim eyāya /	It is said that ŚvetaketuAruṇeya came to the Assembly of the Pancālas
taṃ ha pravāhaṇo jaivalir uvāca / kumārānu tvā aśiṣat piteti /	PravāhaṇaJaibali asked him‘Boy, has thy father taught thee?’‘Yes, Sir’
ityaitihyārthaḥ /	‘Ha’ indicates that the story is wellknown
tamāgatavantaṃ ha pravāhaṇo nāmato jīvalasyāpatyaṃ jaivaliruvācoktavān / he kumārānu tvā tvāmaśiṣadanvasiṣatpitā / kimanuśiṣṭastvaṃ pitretyarthaḥ / ityuktaḥ sa āhānu hyanuśiṣṭo 'smi bhagava iti sūcayannāha //	Śvetaketuby nameĀruṇeyathe son of Āruṇi who was the son of Aruṇacame to the Assembly of the Pāñcālacountry;when he came there, Pravāhaṇaby nameJaibalithe son of Jibalasaid‘O Boy, has thy father taught thee?’That is, hast thou been properly educated by thy father?’Being thus asked, the boy answered‘Yes, Sir,’ meaning thereby that ‘ have been properly educated’
vettha yad ito 'dhi prajāḥ prayantīti / na bhagava iti / vettha yathā punar āvartanta iti /	‘Dost thou know where people go to from here?’‘No, Sir‘Dost thou know how they come back?’‘No, Sir?
na bhagava iti / vettha pathor devayānasya pitṛyāṇasya ca vyāvartanā iti / na bhagava iti //	‘Dost thou know the diverging point between the two paths,the Path of Divinities and the Path of the Fathers?’‘No, Sir,’
taṃ hovāca yadyanuśiṣṭo 'si vettha yadito 'smāllokādadhyūrdhvaṃ yatprajāḥ prayanti yadgacchanti tatkiṃ jānīṣa ityarthaḥ / na bhagava ityāhetaro na jāne 'haṃ tadyatpṛcchasi / evaṃ tarhi vettha jānīṣe yathā yena prakāreṇa punarāvartanta iti / na bhagava iti pratyāha / vettha pathormārgayoḥ sahaprayāṇayordevayānasya pitṛyāṇasya ca vyāvartanamitaretaraviyogasthānaṃ saha gacchatāmityarthaḥ /	Pravāhaṇas aid to the Boy‘If thou hast been properly educated, dost thou know wherewhat upper regionspeople go to from herefrom this worldDost thou know this?’The other replied‘No, Sir, know not what you ask’‘Then, dost thou know howin what mannerthey come back?’‘No, Sir,’he answered ‘Dost thou know the diverging pointthat point from which they diverge, after having gone together at the startbetween the two paths, the path of the Divinities and the path of the Fathersfor people who proceed on those paths?’‘No sir,’
