.o namaḥ śrīsarvabuddhabodhisattvebhyaḥ /	Om! Adoration to all Buddhas and Bodhisattvas!Introduction Introductory Stanzas.
paratra caiveha ca duḥkhahetūn kāmān vihātuṃ na samutsahante / tapovanaṃ tadviparītamete tyajanti māṃ cādya dhigastu moham // yaivipralabdhāḥ suhṛdo mamite na yānti śāntiṃ nikhilāśca lokāḥ / tapovanopārjitasatprabhāvastāneva doṣān prasabhaṃ nihanmi //	They are not capable of parting with worldly pleasures, the cause of suffering both in this world and in the next, but forsake both the penance-grove which frees from those sufferings, and me! Fie upon their infatuation!. , those very sins by the delusions of which these friends of mine and the whole of the creatures are prevented from tranquillity, will crush down forcibly whenever shall have obtained by residence in the penance-forest the excellent power of doing so! Of such a kind were his reflections.
iti sa parigaṇayya niścitātmā praṇayamayāni suhṛdviceṣṭitāni / anunayamadhurākṣarairvacobhirviśadamapāsya tapovanaṃ jagāma //	And after thus making up his mind, he put aside the manifold affectionate entreaties of his friends, made plain to them his firm resolution in kind and gentle terms, and set out for the penance-forest.
tadevamabhūtaguṇasaṃbhāvanā pratodasaṃcodaneva bhavati sādhūnāmiti guṇasaṃpādane prayatitavyam /	In this manner, then, an unfounded opinion of their possession of some virtue acts upon the virtuous in the same way as a stirring spur. Thus considering, one ought to strive after the realisation of virtues..
evaṃ durlabhā dharmapratipattisahāyā ityevamapyupaneyam //	Further, this story may be adduced with the object of showing the difficulty of finding companions for a religious life.].
2 cuḍḍabodhijātakam / krodhavinayācchatrūnupaśamayati, vardahyatyeva tvanyathā /	, Fausböll, -; Cariyāpitaka, ) By keeping down his anger a man appeases his enemies, but doing otherwise he will inflame them.
tadyathānuśrūyate-	This will be taught as follows.
bodhisattvaḥ kila mahāsattvaḥ kasmiṃścinmahati brāhmaṇakule guṇābhyāsamāhātmyādativṛddhyayaśaṣi pratiniyatasamṛddhiguṇe rājasatkṛte daivatasaṃmate lokasya janma pratilebhe /	One time the Bodhisattva, that Great Being, was born in this world in a certain noble Brāhmanical family, it is said, who enjoyed great renown for their practise of virtues in a grand style, owned a large and well-secured estate, were honoured by the king and favoured by the gods.
kālānāmatyayenābhivṛddhaḥ kṛtasaṃskārakarmā śrutaguṇābhyāsādacireṇaiva vidvatsadassu prakāśanāmā babhūva /	In course of time he grew up, and having duly received the sacraments, as he exerted himself to excel in the virtue of learning, within a short time he became renowned in the assemblies of the learned.
kīrtirvidvatsadassveva viduṣāṃ pravijṛmbhate / ratnajñeṣviva ratnānāṃ śūrāṇāṃ samareṣviva //	The fame of the learned unfolds itself in the assemblies of the learned, in the same way as jewels get their reputation with jewellers, as heroes are known on the battle-field.
atha sa mahātmā pravrajyākṛtaparicayatvātpūrvajanmasu svabhyastadharmasaṃjñatvātprajñāvadātamatitvācca na gehe ratimupalebhe /	Now when the Great-minded One, according to his constant observance of the Law in previous existences and to the enlightenment of his mind by wisdom, had familiarised himself with world renunciation, his house no longer pleased him.
sa kāmān vigrahavivādamadavairasyaprācuryādrājacaurodakadahanavipriyadāyādasādhāraṇatvādatṛptijanakatvādanekadoṣāyastanatvācca saviṣamivānnamātmakāmaḥ parityajya saṃhṛtakeśaśmaśruśobhaḥ kāṣāyavivarṇavāsāḥ parityaktagṛhaveṣavibhramaḥ pravrajyāvinayaniyamaśriyamaśiśriyat /	Accordingly, shunning them like poisonous food and longing for the Self, he parted with his fair hair and beard, resigned the delusive brilliancy of a householder's dress, and putting on the vile orange coloured robes, embraced that glorious state of the ascetic life disciplined by rules and restrained by vows. His wife, who loved him much, likewise cut off her hair, and forsook the care of apparelling her body and beautifying it with ornaments.
tadanurāgavaśagā cāsya patnī keśānavatāryāhāryavibhūṣaṇodvahananirvyāpāraśarīrā svarūpaguṇaśobhāvibhūṣitā kāṣāyavastrasaṃvītatanuranupravavrāja /	Then, only adorned by the natural beauty of her form and virtues, she covered her limbs with the orange-coloured robes, and followed her husband.
atha bodhisasttvastapovanānugamanavyavasāyamasyā viditvā tapovanādhyāsanāyogyatāṃ ca strīsaukumāryasyāvocadenām-bahdre darśitastvayāyamasmadanurāgasvabhāvaḥ /	Now, when the Bodhisattva understood her determination of going with him to the penance-forest, knowing that the delicate constitution of a woman is unfit for the ascetic life, he spoke to her: My dear, truly, you have now shown me your sincere affection.
tadalamasmadanugamanaṃ pratyanena vyavasāyena te /	Do not persist in your determination of being my companion in the forest.
yatraiva tvanyāḥ pravrajitāsḥ prativasanti tatra bhavatyāstābhireva sārdhaṃ pratirūpaṃ vastuṃ syāt /	It would rather be suitable for you to take up your abode in such a place where other women dwell who have forsaken the world; with them you should live.
durabhisaṃbhavāni hyaraṇyāyatanani /	It is a hard thing to pass the night in forest-dwellings.
śmaśānaśūnyālayaparvateṣu vaneṣu ca vyālamṛgākuleṣu / niketahīnā yatayo vasanti yatraiva cāstaṃ cavirabhyupaiti //	Cemeteries, desert houses, mountains, forests infested by ferocious animals, are the resting-places of the homeless ascetics; they take their rest in whatsoever place they are when the sun sets..
dhyānodyamādekacarāśca nityaṃ strīdarśanādapyapavṛttabhāvāḥ /	Being intent on meditation, they always like to walk alone, and are averse even to the sight of a woman.
nivartituṃ tena matiṃ kuruṣva kor 'thastavānena paribhrameṇa //	Therefore, make up your mind to desist from your purpose.
sā niyatamenamanugamanakṛtaniścayā bāṣpoparudhyamānanayanā kiṃcidīdṛśaṃ pratyuvāca-	What profit may you have from that wandering life? But she who had firmly resolved upon accompanying him, answered him something like this, while her eyes grew dim with tears:,.
yadi me śramabuddhiḥ syāttavānugamanotsave / kimityevaṃ prapadyeya duḥkhaṃ tava ca vipriyam // yattu naiva samarthāsmi vartituṃ rahitā tvayā / ityājñātikramamimaṃ tvaṃ mama kṣantumarhasi //	If should suppose my going with you a matter of weariness rather than of joy, do you think should desire a thing which causes suffering to myself and displeasure to you? But it is because cannot bear to live without you, that you must pardon this lack of obedience to your orders. And though he repeated his entreaties, she never would turn back.
iti sā dvitrirapyucyamānā yadā necchati sma nivartitum, tato bodhisattva upekṣānibhṛtamatirasyāṃ babhūva //	Then the Bodhisattva gave up his opposition, and silently suffered her companionship.
sa tayānugamyamānaścakravāka iva cakravākyā grāmanagaranigamānanuvicaran kadācitkṛtabhaktakṛtyaḥ kasmiṃścitpravivikte śrīmati nānātarugahanopaśobite ghanapracchāye kṛtopakāra iva kvacitkvaciddinakarakiraṇacandrakairnānākusumarajovakīrṇadharaṇītale śucau vanoddeśe dhyānavidhimanuṣṭhāya sāyāhnasamaye vyutthāya samādheḥ pāṃsūkūlāni sīvyati sma /	As the female cakravāka goes after her mate, so she went along with him in his wanderings through villages and towns and markets. One day after meal-time he performed the usual rite of profound meditation (dhyāna) in a lonely part of some forest. It was a splendid landscape, adorned with many groves of trees affording much shade, and waited on, as it were, by the sunbeams peeping here and there through the thick foliage with the softness of the moonlight; the dust of various flowers overspread the ground; in short, it was a fair spot..
sāpi pravrajitā tasyaiva nātidūre vṛkṣamūlamupaśobhayamānā devateva svena vapuṣaḥ prabhāveṇa virājamānā tadupadiṣṭena manaskāravidhinā dhyāyati sma //	And at no great distance from him, she, the companion of his homeless life, embellishing by the splendour of her beauty the trunk of a tree in whose shade she was seated like a deity, was meditating on such subject and in such manner as he had enjoined her.
atha tatratyo rājā vasantakālajanitābhyadhikakisalayaśobhāni bhramadbhramaramadhukarīgaṇopakūjitāni pramattakokilakulakilakilāni prahasitakamalakuvalayālaṃkṛtabhilaṣaṇīyajalāśayāni vividhakusumasaṃmodagandhādhivāsitasukhapavanānyupavanāni samanuvicaraṃstaṃ deśamupajagāma /	It was the season of spring, when gardens and groves are at their loveliest. On all sides young and tender shoots abounded; the soft humming of crowds of bees roaming about was heard, as well as the cries of joy uttered by the lascivious cuckoos; the lakes and ponds, adorned with laughing lotuses and waterlilies, were an attraction for the eyes; there blew soft winds scented with the odours and perfumes of manifold blossoms.
vicitrapuṣpastabakojjvalāni kṛtacchadānīva vasantalakṣmyā / vācālapuṃskokilabarhiṇāni saroruhākīrṇajalāśayāni // samudbhavatkomalaśādvalāni vanāni mattabhramarārutāni / ākrīḍabhūtāni manobhavasya draṣṭuṃ bhavatyeva manaḥ praharṣaḥ //	It does, indeed, afford gladness to the mind to behold forest-regions at spring-time, when their various blossoms and flower-clusters make them bright, as if that season enveloped them with its pomp, when the he-cuckoo and the peacock sing, the drunken bees make their buzzing sound, when soft and fresh grass-plots cover the earth and lotuses fill up the water-basins.
atha sa rājā savinayamabhigamya bodhisattvaṃ kṛtapratisaṃmodanakathastatraikānte nyaṣīdat /	On seeing the Bodhisattva, the king respectfully drew near to him, and after the usual ceremonial greetings and complimentary words, sat down apart.
sa tāṃ pravrajitāmatimanoharadarśanāmabhīvīkṣya tasyā rūpaśobhayā samāk.ipyamāṇahṛdayo nūnamasyeyaṃ sahadharmacāriṇītyavetya lolasvbhāvatvāttadapaharaṇopāyaṃ vimamarśa /	Then, on perceiving the female ascetic, that very lovely apparition, the beauty of her figure perturbed his heart, and though Pāṁsukūlāni sīvyati sma..
śrutaprabhāvaḥ sa tapodhanānāṃ śāpārciṣaḥ krodhahutāśanasya / saṃkṣiptadhairyo 'pi manobhavena nāsminnavajñārabhaso babhūva //	But having heard of the transcendent power of the ascetics, that the fire of their wrath can shoot curse as its flame, he refrained from a rash deed of contempt against him, even though the Love-god had destroyed the moral checks (that might have restrained him).
tasya buddhirabhavat-tapaḥ prabhāvamasya jñātvā śakyamatra pravartituṃ nānyathā /	Then this thought entered his mind: Let me examine the extent of his penance-obtained power. Then shall be able to act in a proper manner, not otherwise.
yadyayamasyāṃ saṃrāgavaktavyamatirvyaktamasminna tapaḥprabhāvo 'sti /	If his mind is ruled by passionate affection for her, surely, he has no power gained by penance.
iti vicintya sa rājā tapaḥprabhāvajijñāsayā bodhisattvaṃ hitaiṣivaduvāca-bhoḥ pravrajita,pracuradhūrtasāhasikapuruṣe 'smiṃlloke na yuktamatrabhavato nirākrandeṣu vaneṣvevaṃ pratirūpayānayā sahadharmacāriṇyā saha vicaritum / asyāṃ hi te kaścidaparādhyamano niyatamasmānapyupakrośabhājanīkuryāt /	But if he were to prove dispassionate or to show little interest in her, then he may be supposed to possess that sublime power. Having thus considered, the king, desirous of proving that penance-powers spoke to the Bodhisattva, as if he wished his good. Say, ascetic, this world abounds in rogues and bold adventurers. Why, it is not fit for Your Reverence to have with you such a handsome person as this companion of your religious duties in remote forests, where you are destitute of protection.
paśya /	If she were to be injured by somebody, certainly people would censure me, too.
evaṃ vivikteṣu tapaḥkṛśaṃ tvāṃ dharmeṇa sārdhaṃ paribhūya kaścit / imāṃ prasahyāpaharedyadā te śokātparaṃ kiṃ bata tatra kuryāḥ // roṣapraśaṅgo hi manaḥpramāthī dharmopamardādyaśasaśca hantā /	Suppose, while living in these lonely regions, some man disregarding both you, a penance-exhausted ascetic, and Righteousness, were to carry her off by force, what else could you do in that case but wail on her account? Indulging in anger, forsooth, agitates the mind and destroys the glory of a religious life, since it tends to the detriment of it.
